,0
2020-01-01,1.0
2020-01-02,1.0
2020-01-03,1.0
2020-01-04,1.0
2020-01-05,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-11,1.0
2020-01-12,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-18,1.0
2020-01-19,1.0
2020-01-20,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-25,1.0
2020-01-26,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-08,1.0
2020-02-09,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,1.0
2020-03-08,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-14,1.0
2020-03-15,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,1.0
2020-03-21,1.0
2020-03-22,0.99644696778
2020-03-23,1.00230756836
2020-03-24,1.00549245606
2020-03-25,1.00495504883
2020-03-26,1.00530882325
2020-03-27,1.00284240235
2020-03-28,1.00056635743
2020-03-29,0.9973648486400002
2020-03-30,1.0024428369200002
2020-03-31,1.0025308642600002
2020-04-01,1.0042121826200001
2020-04-02,1.0060806640700002
2020-04-03,1.0054782910200002
2020-04-04,1.0068196923900004
2020-04-05,1.0060557129000003
2020-04-06,1.0108622314500004
2020-04-07,1.0099085644600003
2020-04-08,1.0114854052800004
2020-04-09,1.0111653125000004
2020-04-10,1.0067993505900004
2020-04-11,1.0067352490300003
2020-04-12,1.0078553369200003
2020-04-13,1.0065947949300003
2020-04-14,1.0065686962900002
2020-04-15,1.0045655175800003
2020-04-16,1.0093124609400004
2020-04-17,1.0091062646500004
2020-04-18,1.0107210693400004
2020-04-19,1.0100386670000003
2020-04-20,1.0069640039100003
2020-04-21,1.0069476513700002
2020-04-22,1.0093164941500001
2020-04-23,1.01244166504
2020-04-24,1.0136534277400002
2020-04-25,1.0138437793000004
2020-04-26,1.0149430908300003
2020-04-27,1.0161004296900003
2020-04-28,1.0162150048900003
2020-04-29,1.0261547998100002
2020-04-30,1.0247299560600003
2020-05-01,1.0267920849700003
2020-05-02,1.0280303857500002
2020-05-03,1.0271191064500003
2020-05-04,1.0272709619200002
2020-05-05,1.0281751220800004
2020-05-06,1.0308320361400003
2020-05-07,1.0376596045000002
2020-05-08,1.0365710791100002
2020-05-09,1.03408338379
2020-05-10,1.0257087255900001
2020-05-11,1.0241623779300002
2020-05-12,1.0242482763700003
2020-05-13,1.0242482763700003
2020-05-14,1.0242482763700003
2020-05-15,1.0242482763700003
2020-05-16,1.0242482763700003
2020-05-17,1.0242482763700003
2020-05-18,1.0242482763700003
2020-05-19,1.0242482763700003
2020-05-20,1.0242482763700003
2020-05-21,1.0242482763700003
2020-05-22,1.0242482763700003
2020-05-23,1.0242482763700003
2020-05-24,1.0242482763700003
2020-05-25,1.0242482763700003
2020-05-26,1.0242482763700003
2020-05-27,1.0242482763700003
2020-05-28,1.0242482763700003
2020-05-29,1.0242482763700003
2020-05-30,1.0242482763700003
2020-05-31,1.0242482763700003
2020-06-01,1.0242482763700003
2020-06-02,1.0242482763700003
2020-06-03,1.0254778466800003
2020-06-04,1.0269170361400004
2020-06-05,1.0255660009800003
2020-06-06,1.0254474658300003
2020-06-07,1.0254406982500004
2020-06-08,1.0254406982500004
2020-06-09,1.0254406982500004
2020-06-10,1.0254406982500004
2020-06-11,1.0254406982500004
2020-06-12,1.0254406982500004
2020-06-13,1.0254406982500004
2020-06-14,1.0254406982500004
2020-06-15,1.0254406982500004
2020-06-16,1.0254406982500004
2020-06-17,1.0254406982500004
2020-06-18,1.0254406982500004
2020-06-19,1.0254406982500004
2020-06-20,1.0254406982500004
2020-06-21,1.0254406982500004
2020-06-22,1.0254406982500004
2020-06-23,1.0254406982500004
2020-06-24,1.0254406982500004
2020-06-25,1.0254406982500004
2020-06-26,1.0254406982500004
2020-06-27,1.0254406982500004
2020-06-28,1.0254406982500004
2020-06-29,1.0254406982500004
2020-06-30,1.0254406982500004
2020-07-01,1.0254406982500004
2020-07-02,1.0254406982500004
2020-07-03,1.0254406982500004
2020-07-04,1.0254406982500004
2020-07-05,1.0254406982500004
2020-07-06,1.0254406982500004
2020-07-07,1.0254406982500004
2020-07-08,1.0271938232500004
2020-07-09,1.0256901709000004
2020-07-10,1.0256985693400003
2020-07-11,1.0253139599700003
2020-07-12,1.0256754931700003
2020-07-13,1.0253466357500003
2020-07-14,1.0253426318400003
2020-07-15,1.0248388623100002
2020-07-16,1.0242327685600001
2020-07-17,1.02422861817
2020-07-18,1.02422861817
2020-07-19,1.02422861817
2020-07-20,1.02422861817
2020-07-21,1.02422861817
2020-07-22,1.02422861817
2020-07-23,1.02422861817
2020-07-24,1.02422861817
2020-07-25,1.02422861817
2020-07-26,1.02422861817
2020-07-27,1.02422861817
2020-07-28,1.02422861817
2020-07-29,1.02422861817
2020-07-30,1.02422861817
2020-07-31,1.02422861817
2020-08-01,1.02422861817
2020-08-02,1.02422861817
2020-08-03,1.02422861817
2020-08-04,1.02422861817
2020-08-05,1.02422861817
2020-08-06,1.02422861817
2020-08-07,1.02422861817
2020-08-08,1.02422861817
2020-08-09,1.02422861817
2020-08-10,1.02422861817
2020-08-11,1.02422861817
2020-08-12,1.02422861817
2020-08-13,1.02422861817
2020-08-14,1.02422861817
2020-08-15,1.02422861817
2020-08-16,1.02422861817
2020-08-17,1.02422861817
2020-08-18,1.02422861817
2020-08-19,1.02422861817
2020-08-20,1.02422861817
2020-08-21,1.02422861817
